BUKU,BAB,PASAL,ISI_PASAL,SUB_KLASIFIKASI
,Bab IV,Pasal 151,"Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  Barang siapa memakai nama orang lain untuk ikut dalam pemilihan berdasarkan aturan-aturan umum, diancam dengan pidana penjara paling lama satu tahun empat bulan.",tidak-diketahui
,Bab IV,Pasal 152,"Barang siapa pada waktu diadakan pemilihan berdasarkan aturan-aturan umum dengan sengaja menggagalkan pemungutan suara yang telah diadaka atau mengadakan tipu muslihat yang meny ebabkan putusan pemungutan suara itu lain dari yang seharusnya diperoleh berdasarkan kartu-kartu pemungutan suara yang masuk secara sah atau berdasarka n suara-suara yang dikeluarkan secara sah, diancam dengan pidana penjara paling lama dua tahun.",tidak-diketahui
,BAB V,Pasal 153,"(1) Dalam hal pemidanaan berdasarkan perumusan kejahatan dalam pasal 146, dapat dipidana pencabutan hak berdasarkan pasal 35 ke 1-3. (2) Dalam hal pemidanaan berdasarkan perumusan kejahatan dalam pasal 147- 152, dapat dipidana pencabutan hak berdasarkan pasal 35 ke-3.   KEJAHATAN TERHADAP KETERTIBAN UMUM",tidak-diketahui
,BAB V,Pasal 153 bis,"Pasal ini ditiadakan berdasarkan Undang-undang No. 1 Tahun 1946, pasal 8, butir 32.",tidak-diketahui
,BAB V,Pasal 153 ter,"Pasal ini ditiadakan berdasarkan Undang-undang No. 1 Tahun 1946, pasal 8, butir 32.",tidak-diketahui
,BAB V,Pasal 154,"Barang siapa di muka umum menyatakan perasaan permusuhan, kebencian atau penghinaan terhadap Pemerintah Indonesia, diancam dengan pidana penjara paling lama tujuh tahun atau pidana denda paling banyak empat ribu lima ratus rupiah.",penghinaan
,BAB V,Pasal 154a,"Barang siapa menodai bendera kebangsaan Republik Indonesia dan lambang Negara Republik Indonesia, diancam dengan pidana penjara paling lama empat tahun atau pidana denda paling banyak empat puluh lima ribu rupiah.",tidak-diketahui
,BAB V,Pasal 155,"(1) Barang siapa menyiarkan, mempertunjukkan atau menempelkan tulisan atau lukisan di muka umum yang mengand ung pernyataan perasaan permusuhan, kebencian atau penghinaan terhadap Pe merintah Indonesia, dengan maksud supaya isinya diketahui atau lebih diketahui oleh umum, diancam dengan Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  pidana penjara paling lama empat tahun enam bulan atau pidana denda paling banyak empat ribu lima ratus rupiah. (2) Jika yang bersalah melakukan keja hatan tersebut pada waktu menjalankan pencariannya dan pada saat itu belum lewat lima tahun sejak pemidanaannya menjadi tetap karena melakukan kejahatan semacam itu juga, yang bersangkutan dapat dilara ng menjalankan pencarian tersebut.",penghinaan
,BAB V,Pasal 156,"Barang siapa di rnuka umum menyatakan perasaan permusuhan, kebencian atau penghinaan terhadap suatu atau beherapa golongan rakyat Indonesia, diancam dengan pidana penjara paling lama empat tahun atau pidana denda paling banyak empat ribu lima ratus rupiah. Perkataan golongan dalam pasal ini dan pasal berikutnya berarti tiap-tiap bagian dari rakyat Indonesia yang berbeda dengan suatu atau beberapa hagian lain nya karena ras, negeri asal, agama, tempat, asal, keturunan, kebangsaan atau kedudukan menurut hukum tata negara.",penghinaan
,BAB V,Pasal 156a,"Dipidana dengan pidana penjara sela ma-lumanya lima tahun barang siapa dengan sengaja di muka umum mengeluarkan perasaan atau melakukan perbuatan: a. yang pada pokoknya bcrsifat permusuhan, penyalahgunaan atau penodaan terhadap suatu agama yang dianut di Indonesia; b. dengan maksud agar supaya oran g tidak menganut agama apa pun juga, yang bersendikan Ketuhanan Yang Maha Esa.",tidak-diketahui
,BAB V,Pasal 157,"(1) Barang siapa menyiarkan, mempertunjukkan atau menempelkan tulisan atau lukisan di muka umum, yang isinya mengandung pernyataan perasaan permusuhan, kebencian atau penghinaan di antara atau terhadap golongan- golongan rakyat Indonesia, dengan ma ksud supaya isinya diketuhui atau lebih diketahui oleh umum, diancam dcngan pidana penjara paling lama dua tahun enam bulan atau pidana denda pa ling hanyak empat rupiah lima ratus rupiah. (2) Jika yang bersalah melakukan kejahatan tersebut padu waktu menjalankan pencariannya dan pada saat, itu belum lewat lima tahun sejak pemidanaannya menjadi tetap karena kejahatan semacam itu juga, yang bersangkutan dapat di- larang me njalankan pencarian tersebut.",penghinaan
,BAB V,Pasal 158,"Barang siapa menyelenggarakan pemilihan anggota untuk suatu lembaga kenegaraan asing di Indonesia, at au menyiapkan ataupun memudahkan pemilihan itu, baik yang diadakan di Indonesia maupun di luar negeri, diancam dengan pidana penjara paling lama dua tahun atau pidana denda paling banyak tujuh ribu lima ratus rupiah. Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3",tidak-diketahui
,BAB V,Pasal 159,"Barang siapa turut serta dalam pemilihan umum, baik yang diadakan di Indonesia maupun di luar negeri, sepert i yang dimaksud- kan dalam pasal 158, diancam dengan pidana penjara paling lama enam bulan atau pidana denda paling banyak seribu lima ratus rupiah.",tidak-diketahui
,BAB V,Pasal 160,"Barang siapa di muka umum dengan lisan atau tulisan menghasut supaya melakukan perbuatan pidana, melakukan kekerasan terhadap penguasa umum atau tidak menuruti baik ketentuan undang-undang maupun perintah jabatan yang diherikan berdasar ketentuan un dang-undang, diancam dengan pidana penjara paling lama enam tahun utau pi dana denda paling banyak empat ribu lima ratus rupiah.",kekerasan
,BAB V,Pasal 161,"(1) Barang siapa menyiarkan, mempertunjukkan atau menempelkan di muka umum tulisan yang menghasut supaya melakukan perbuatan pidana, menentang penguasa umum dengan keke rasan, atau menentang sesuatu hal lain seperti tersebut dalam pasal di atas, dengan maksud supaya isi yang menghasut diketahui atau lebih dike tahui oleh umum, diancam dengan pidana penjara paling lama empat tahun atau pidana denda paling banyak empat ribu lima ratus rupiah. (2) Jika yang hemalah melakukan kejahatan tersebut pada waktu menjalankan pencariannya dan pada saat itu belum lewat lima tahun sejak pemidanaannya menjadi tetap karena kejahatan semacam itu juga, yang bersangkutan dapat dilarang me njalankan pencarian tersebut.",tidak-diketahui
,BAB V,Pasal 161 bis,"Pasal ini ditiadakan berdasarkan Undang-undang No. 1 Tahun 1946, pasal 8, butir 34.",tidak-diketahui
,BAB V,Pasal 162,"Barang siapa di muka umum dengan lisan atau tulisan menawarkan untuk memberi keterangan, kesempatan atau sa rana guna melakukan tindak pidana, diancam dengan pidana penjara paling la ma sembilan hulan atau pidana denda paling banyak empat ribu lima ratus rupiah.",tidak-diketahui
,BAB V,Pasal 163,"(1) Barang siapa menyiarkan, mempertunjukkan atau menempelkan di muka umum tulisan yang berisi penawaran untuk memberi keterangan, kesempatan atau sarana guna melaku- kan tindak pidana dengan maksud supaya penawaran itu diketahui atau lebih diketahui oleh umum, diancam Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  dengan pidana penjara paling lama empat bulan dua minggu atau pidana denda paling banyak empat ribu lima ratus rupiah. (2) Jika yang bersalah melakukan keja hatan tersebut pada waktu menjalankan pencariannya dan pada saat itu belum lewat lima tahun sejak pemidanaannya menjadi tetap karena kejahatan semacam itu juga yang bersangkutan dapat dilarang me njalankan pencarian tersebut.",tidak-diketahui
,BAB V,Pasal 163 bis,"(1) Barang siapa dengan menggunakan salah satu sarana tersebut dalam pasal 55 ke-2 berusaha menggerakkan orang lain supaya melakukan kejahatan, dan kejahatan itu atau percobaan untuk itu dapat dipidana tidak terjadi, diancam dengan pidana penjara paling lama enam tahun atau pidana denda paling banyak tiga ratus rupiah, tetapi dengan pengertian bahwa sekali-kali tidak dapat dijatuhkan pidana yang lebih berat daripada yang dapat dijatuhkan karena percobaan kejahata n atau apahila percobaan itu tidak dapat dipidana karena kejahatan itu sendiri. (2) Aturan tersebut tidak berlaku, jika tidak mengakibatkan kejahatan atau percobaan kejahatan disebabkan karena kehendaknya sendiri.",tidak-diketahui
,BAB V,Pasal 164,"Barang siapa mengetahui ada sesuatu permufakatan untuk melakukan kejahatan berdasarkan pasal-pasal 104, 106, 107, dan 108, 113, 115, 124, 187 atau 187 bis, sedang masih ada waktu untuk mencegah kejahatan itu, dan dengan sengaja tidak segera memberitahukan tentang hal itu kepada pejabat kehakiman atau kepolisian atau kepada orang yang terancam oleh kejahatan itu, dipidana jika kejahatan itu jadi dilakukan, dengan pidana penjara paling lama satu tahun empat bulan atau pidana denda paling banyak tiga ratus rupiah.",tidak-diketahui
,BAB V,Pasal 165,"(1) Barang siapa mengetahui ada niat untuk melakukan salah satu kejahatan berdasarkan pasal-pasal 104, 106, 107, dan 108, 110 - 113, dan 115 - 129 dan 131 atau niat untuk lari dari tentara dalam masa perang, untuk desersi, untuk membunuh dengan rencana, untu k menculik atau memperkosa atau mengetahui adanya niat untuk melaku kan kejahatan tersebut dalam bab 8 dalam kitab undang-undang ini, sepanjang kejahatan itu membahayakan nyawa orang atau untuk melakukan sala h satu kejahatan berdasarkan pasal- pasal 224 228, 250 atau salah satu kejahatan berdasarkan pasal-pasal 264 dan 275 sepanjang mengenai surat kr edit yang diperuntukkan bagi peredaran, sedang masih ada waktu untuk mencegah kejahatan itu, dan dengan sengaja tidak segera memberitahukan hal itu kepada pejabat kehakiman atau kepolisian atau kepada orang yang terancam oleh kejahatan itu, dipidana jika kejahatan itu jadi dilaku- kan, dengan pidana penjara paling lama sembilan bulan atau pidana denda paling banyak empat ribu lima ratus rupiah. Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  (2) Pidana tersebut diterapkan terhadap orang yang mengetahui bahwa sesuatu kejahatan berdasarkan ayat 1 telah dilakukan, dan telah membahayakan nyawa orang pada saat akihat masih dapat dicegah, dengan sengaja tidak memheritahukannya kepada pihak-pihak tersebut dalam ayat l.",penculikan
,BAB V,Pasal 166,"Ketentuan dalam pasal 164 dan 165 tidak berlaku bagi orang yang dengan memberitahukan itu mungkin mendatangk an bahaya penuntutan pidana bagi diri sendiri, bagi seorang keluarganya sedarah atau semenda dalam garis lurus atau garis menyimpang derajat kedua atau ketiga, bagi suami atau bekas suaminya, atau bagi orang lain yang ji ka dituntut, berhubung dengan jabatan atau pencariannya, dimungkinkan pemb ebasan menjadi saksi terhadap orang tersebut.",tidak-diketahui
,BAB V,Pasal 167,"(1) Barang siapa memaksa masuk ke dalam rumah, ruangan atau pekarangan tertutup yang dipakai orang lain dengan me- lawan hukum atau berada di situ dengan melawan hukum, dan atas permintaan yang berhak atau suruhannya tidak pergi dengan segera, diancam dengan pidana penjara paling lema sembilan bulan atau pidana denda paling banyak empat ribu lima ratus rupiah. (2) Barang siapa masuk dengan merusa k atau memanjat, dengan menggunakan anak kunci palsu, perintah palsu atau pakaian jahatan palsu, atau barang siapa tidak setahu yang berhak lebih dahulu serta bukan karena kekhilafan masuk dan kedapatan di situ pada waktu malam, dianggap memaksa masuk. (3) Jika mengeluarkan ancaman atau menggunakan sarana yang dapat menakutkan orang, diancam dengan pidana penjara paling lama satu tahun empat bulan. (4) Pidana tersebut dalam ayat 1 dan 3 dapat ditambah sepertiga jika yang melakukan kejahatan dua orang at au lebih dengan bersekutu.",pelanggaran properti
,BAB V,Pasal 168,"(1) Barang siapa memaksa masuk ke dalam ruangan untuk dinas umum, atau berada di situ dengan melawan hukum, dan atas permintaan pejabat yang berwenang tidak pergi dengan segera, diancam dengan pidana penjara paling lama empat bulan dua minggu atau pidana denda paling banyak empat ribu lima ratus rupiah. (2) Barang siapa masuk dengan merusa k atau memanjat, dengan menggunakan anak kunci palsu, perintah palsu, atau pakaian jabatan palsu, atau barang siapa tidak setahu pejabat yang berwenang lebih dahulu serta bukan karena kekhilafan masuk dan kedapatan di situ pada waktu malam, dianggap memaksa masuk. (3) Jika ia mengeluarkan ancaman atau menggunakan sarana yang dapat menakutkan orang, diancam dengan pidana penjara menjadi paling lama satu tahun empat bulan. Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  (4) Pidana tersebut dalam ayat 1 dan 3 dapat ditambah sepertiga, jika yang melakukan kejahatan dua orang at au lebih dengan bersekutu.",pelanggaran perlindungan anak
,BAB V,Pasal 169,"(1) Turut serta dalam perkumpulan yang bertujuan melakukan kejahatan. atau turut serta dalam perkumpulan lainnya yang dilarang oleh aturan-aturan umum, diancam dengan pidana penj ara paling lama enam tahun. (2) Turut serta dalam perkumpulan yang bertujuan melakukan pelanggaran, diancam dengan pidana penjara paling lama sembilan bulan atau pidana denda paling banyak empat ribu lima ratus rupiah. (3) Terhadap pendiri atau pengurus, pidana dapat ditambah sepertiga.",tidak-diketahui
,BAB V,Pasal 170,"(1) Barang siapa dengan terang-ter angan dan dengan tenaga bersama menggunakan kekerasan terhadap orang atau barang, diancam dengan pidana penjara paling lama lima tahun enam bulan. (2) Yang bersalah diancam: 1. dengan pidana penjara paling lama tujuh tahun, jika ia dengan sengaja menghancurkan barang atau jika kekerasan yang digunakan mengakibatkan luka-luka; 2. dengan pidana penjara paling la ma sembilan tahun, jika kekerasan mengakibatkan luka berat; 3. dengan pidana penjara paling lama dua belas tahun, jika kekerasan mengakibatkan maut. (3) Pasal 89 tidak diterapkan.",kekerasan
,BAB V,Pasal 171,"Pasal ini ditiadakan berdasarkan Unda ng-undang no. 1 Tahun 1946, pasal 8, butir 37.",tidak-diketahui
,BAB V,Pasal 172,"Barang siapa dengan sengaja menggang gu ketenangan dengan mengeluarkan teriakan-teriakan, atau tanda-tanda ba haya palsu, diancam dengan pidana penjara paling lama tiga minggu atau pidana denda paling banyak sembilan ratus rupiah.",tidak-diketahui
,BAB V,Pasal 173,"Barang siapa dengan kekerasan atau ancaman kekerasan merintangi rapat, umum yang diizinkan, diancam dengan pi dana penjara paling lama satu tahun.",kekerasan
,BAB V,Pasal 174,"Barang siapa dengan sengaja mengganggu rapat umum yang diizinkan dengan jalan menimbulkan kekacauan atau suara gaduh, diancam dengan pidana penjara paling lama tiga minggu atau pidana denda paling banyak sembilan ratus rupiah. Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3",perbuatan tidak menyenangkan
,BAB V,Pasal 175,"Barang siapa dengan kekerasan atau an caman kekerasan merintangi pertemuan keagamaan yang bersifat umum dan diiz inkan, atau upacara keagamaan yang diizinkan, atau upacara penguburan je nazah, diancam dengan pidana penjara paling lama satu tahun empat bulan.",kekerasan
,BAB V,Pasal 176,"Barang siapa dengan sengaja mengganggu pertemuan keagamaan yang bersifat, umum dan diizinkan, atau upacara keagamaan yang diizinkan atau upacara penguburan jenazah, dengan menimbulkan kekacauan atau suara gaduh, diancam dengan pidana penjara paling lama satu bulan dua minggu atau pidana denda paling banyak seribu delapan ratus rupiah.",perbuatan tidak menyenangkan
,BAB V,Pasal 177,Diancam dengan pidana penjara paling lama empat bulan dua minggu atau pidana denda paling banyak seribu delapan ratus rupiah: 1.  barang siapa menertawakan seoran g petugas agama dalam men- jalankan tugas yang diizinkan; 2.  barang siapa menghina benda-benda untuk keperluan ibadat di tempat atau padu waktu ibadat dilakukan.,penghinaan
,BAB V,Pasal 178,"Barang siapa dengan sengaja merintangi atau menghalang-halangi jalan masuk atau pengangkutan mayat ke kuburan yang diizinkan, diancam dengan pidana penjara paling lama satu bulan dua minggu atau pidana denda paling banyak seribu delapan ratus rupiah.",tidak-diketahui
,BAB V,Pasal 179,"Barang siapa dengan sengaja menoda i kuburan atau dengan sengaja dan melawan hukum menghancurkan atau merusak tanda peringntan di tempat kuburan, diancam dengan pidana penjara paling lama satu tahun empat bulan.",pengrusakan
,BAB V,Pasal 180,"Barang siapa dengan sengaja dan melawan hukum menggali atau mengambil jenazah atau memindahkan atau mengangkut jenazah yang sudah digali atau diambil, diancam dengan pidana penjara paling lama satu tahun empat bulan atau pidana denda paling banyak empat ribu lima ratus rupiah.",tidak-diketahui
,BAB VI,Pasal 181,"Barang siapa mengubur, menyembunyikan , membawa lari atau menghilangkan mayat dengan maksud menyembunyikan kematian atau kelahirannya, diancam dengan pidana penjara paling lama sembilan bulan atau pidana denda paling banyak empat ribu lirna ratus rupiah.  Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3   PERKELAHIAN TANDING",tidak-diketahui
,BAB VI,Pasal 182,"Dengan pidana penjara paling lama sembilan bulan, diancam: (1) barang siapa menantang seorang untuk perkelahian tanding atau rnenyuruh orang menerima tantangan, bilamana hal itu mengakibatkan perkelahian tanding; (2) barang siapa dengan sengaja mene ruskan tantangan, bilamana hal itu mengakibatkan perkelahian tanding.",tidak-diketahui
,BAB VI,Pasal 183,"Diancam dengan pidana penjara paling lama enam bulan atau pidana denda paling tinggi tiga ratus rupiah, barang siapa di muka umum atau di hadapan pihak ketiga mencerca atau mengejek seseorang oleh karena yang bersangkutan tidak mau menentang atau menolak tantangan untuk perkelahian tanding.",tidak-diketahui
,BAB VI,Pasal 184,"(1) Seseorang diancam dengan pidana penjara paling lama sembilan bulan, jika ia dalam perkelahian tanding itu tidak melukai tubuh pihak lawannya. (2) Diancam dengan pidana penjara paling lama satu tahun dan empat bulan, barang siapa melukai tubuh lawannya. (3) Diancam dengan pidana penjara paling lama empat tahun, barang siapa melukai berat tubuh lawannya. (4) Barang siapa yang merampas nyaw a lawannya, diancam dengan pidana penjara paling lama tujuh tahun, at au jika perkelahian tanding itu dilakukan dengan perjanjian hidup atau mati, diancam dengan pidana penjara paling lama dua belas tahun. (5) Percobaan perkelahian tanding tidak dipidana.",tidak-diketahui
,BAB VI,Pasal 185,"Barang siapa dalam perkelahian tanding merampas nyawa pihak lawan atau melukai tubuhnya, maka diterapkan ketentuan-ketentuan mengenai pembunuhan berencana, pembunuhan atau penganiayaan: 1. jika persyaratan tidak diatur terlebih dahulu; 2. jika perkelahian tanding tidak dilakukan di hadapan saksi kedua belah pihak; 3. jika pelaku dengan sengaja dan meru gikan pihak lawan, bersalah melakukan perbuatan penipuan atau yang me nyimpang dari persyaratan.",penipuan
,BAB VII,Pasal 186,"(1) Para saksi dan dokter yang menghadiri perkelahian tanding, tidak dipidana. (2) Para saksi diancam: Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  1. dengan pidana penjara paling lama tiga tahun, jika persyaratan tidak diatur terlebih dahulu, atau jika para saksi menghasut para pihak untuk perkelahian tanding; 2. dengan pidana penjara paling lama empat tahun, jika para saksi dengan sengaja dan merugikan salah satu at au kedua belah pihak, bersalah melakukan perbuatan penipuan atau membiarkan para pihak melakukan perbuatan penipuan, atau membiarkan dilakukan penyimpangan daripada syarat-syarat; 3. ketentuan-ketentuan mengenai pembunuhan berencana, pembunuhan atau penganiayaan diterapkan terhadap saksi dalam perkelahian tanding, di mana satu pihak dirampas nyawanya atau menderita karena dilukai tubuhnya, jika ia dengan sengaja dan merugikan pihak itu bersalah melakukan perbuatan penipuan atau membiarkan penyimpangan dari persyaratan yang merugikan yang dikalahkan atau dilukai.  KEJAHATAN YANG MEMBAHAYAKAN KEAM ANAN UMUM BAGI ORANG ATAU BARANG",penipuan
,BAB VII,Pasal 187,"Barang siapa dengan sengaja menimbul kan kebakaran, ledakan atau banjir, diancam: 1. dengan pidana penjara paling lama dua belas tahun, jika karena perbuatan tersebut di atas timbul bahaya umum bagi barang; 2. dengan pidana penjara paling lama lima belas tahun, jika karena perbuatan tersebut di atas timbul bahaya bagi nyawa orang lain; 3. dengan pidana penjara seumur hidup atau selama waktu tertentu paling lama dua puluh tahun, jika karena perb uatan tersebut di atas timbul bahaya bagi nyawa orang lain dan me ng- akibatkan orang mati.",tidak-diketahui
,BAB VII,Pasal 187 bis,"(1) Barang siapa membuat, meneama, berusaha memperoleh, mempunyai persediaan, menyembunyikan, mengangk ut otau memasukkan ke Indonesia bahan-bahan, benda-benda atau perk akas-perkakas yung diketahui atau selayaknya harus diduga bahwa diperu ntukkan, atau kalau ada kesempatan akan diperuntukkan, untuk menimbulkan ledakan yang membahayakan nyawa orang atau menimbulkan bahaya umum bagi barang, diancam dengan pidana penjara paling lama delapan tahun atau pidana kurungan paling lama satu tahun, (2) Tidak mampunya bahan-bahan, benda-benda atau perkakas-perkakas untuk menirnbulkan ledakan; seperti tersebut di atas, tidak menghapuskan pengenaan pidana.",tidak-diketahui
,BAB VII,Pasal 187 ter,"Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  Permufakatan jahat, untuk melakukan salah satu kejahatan tersebut dalam pasal 187 dan 187 his, diancam dengan pida na penjara paling lama lima tahun.",tidak-diketahui
,BAB VII,Pasal 188 ( L.N. 1960 - 1),"Barang siapa karena kesalahan (kealp aan) menyebabkan kebakar- an, ledakan atau banjir, diancam dengan pidana pe njara paling lama lima tahun atau pidana kurungan paling lama satu tahun atau pidnna denda paling banyak empat ribu lima ratus rupiah, jika kare na perbuatan itu timbul bahaya umum bagi barang, jika karena perbuatan itu timbul bahaya bagi nyawa orang lain, atau jika karena perbuatan it u mengakibatkan orang mati.",tidak-diketahui
,BAB VII,Pasal 189,"Barang siapa pada waktu ada atau akan ada kebakaran, dengan sengaja dan melawan hukum menyembunyikan atau membikin tak dapat dipakai perkakas- perkakas atau alat-alat pemadam api at au dengan cara apa pun merintangi atau menghalang-halangi pekerjaan mema damkan api, diancam dengan pidana penjara paling lama tujuh tahun.",tidak-diketahui
,BAB VII,Pasal 190,"Barang siapa pada waktu ada, atau ak an ada banjir, dengan seng- aja dan melawan hukum menyembunyikan atau membikin tak dapat dipakai bahan- bahan untuk tanggul atau perkakas-per kakas atau menggagalkan usaha untuk membetulkan tanggul-tanggul atau bangunan-bangunan pengairan, atau merintangi usaha untuk mencegah at au menahan banjir, diancam dengan pidana penjara paling lama tujuh tahun.",tidak-diketahui
,BAB VII,Pasal 191,"Barang siapa dengan sengaja menghancur kan, membikin tak dapat dipakai atau merusak bangunan untuk menahan atau menyalurkan diani:am dengan pidana penjara paling lama tujuh tahun jika karena perbuat:en itu timbul bahaya banjir.",pengrusakan
,BAB VII,Pasal 191 bis,"Barang siapa dvngan sengaja menghancurkan, merusak atau membikin tak dapat dipakai hangunan listrik, atau menyenabkan jalan atau bekerjanya hangunan itu terganggu, atau menggaga lkan atau mcmpv.r.sukar usaha unt.uk menyelanmtkan atau niembetulkan bangunan itu, diancam: 1. dengan pidana penjara paling lama sembilan bulan atau pidana denda paling banyak empat, ribu lima ratus rupiah, jika karena perbuatan itu timbul rintangan atau kesukaran dalam penyerahan tenaga listrik untuk kepentingan umum; 2. dengan pidana penjara paling lama tujuh tahun, jika karena perbuatan itu tirnbul bahaya umum bagi barang; 3. dengan pidana penjara paling lama sembilan tahun, jika karena perbuatan itu timbul bahaya bagi nyawa orang lain; Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  4. dengan pidana penjara paling lama lima belas tahun, jika karena perbuatan itu timbul bahaya bagi nyawa orang lain dan mengakibatkan orang mati.",pengrusakan
,BAB VII,Pasal 191 ter,"Burang siapa karena kesalahannya (kealpaannya) menyebabkan suatu bangunan listrik hancur, rusak atau tak dapat di pakai atau menyebahkan jalannya atau bekerjanya bangunan itu terganggu, at au usaha untuk menyelamatkan atau membetulkan bangunan itu gagal at au menjadi sukar, diancam: 1. dengan pidana penjara paling lama empat bulan dua minggu atau pidana kurungan paling lama tiga bulan atau pidana denda paling banyak empat ribu lima ratus rupiah, jika menimbulkan rintangan atau kesukaran dalam memberikan tenaga listrik untuk kepent,ingan umum atau menimbulkan bahaya umum bagi barang; 2. dengan pidana penjara paling lama sembilan bulan atau pidana kurungan paling lama enam bulan atau pidana denda paling banyak empat ribu lima ratus rupiah, jika membahay akan nyawa orang lain; 3. dengan pidana penjara paling lama satu tahun empat bulan atau pidana kurungan paling lama satu tahun, jika mengakibatkan orang mati.",pengrusakan
,BAB VII,Pasal 192,"Barang siapa dengan sengaja menghancur kan, membikin tak dapat dipakai atau merusak bangunan untuk lalu lintas umum, atau me- rintangi jalan umum darat atau air, atau menggagalkan usaha untu k pengamanan bangunan atau jalan itu, diancam: 1. dengan pidana penjara paling lama sembilan tahun, jika karena perbuatan itu timbul bahaya bagi keamanan lalu lintas, 2.  dengan pidana penjara paling lama lima belas tahun, jika karena perbuatan itu timbul bahaya bagi keamanan lalu lintas dan mengakibatkan orang mati.",pelanggaran lalu lintas
,BAB VII,Pasal 193,"Barang siapa karena kesalahannya (kealpaannya) menyebabkan bangunan untuk lalu lintas umum dihancurkan, tida k dapat dipakai atau merusak, atau menyebabkan jalan umum darat atau air dirintangi, atau usaha untuk pengamanan bangunan atau jalan itu digagalkan, diancam: 1. dengan pidana penjara paling lama empat bulan dua minggu atau pidana kurungan paling lama tiga bulan atau pidana denda paling banyak empat ribu lima ratus rupiah, jika karena perhuat- an itu timbul bahaya bagi keamanan lalu lintas; 2. dengan pidana penjara paling lama satu tahun empat bulan atau pidana kurungan paling lama satu tahun, jika kerena perbuatan itu mengakibatkan orang mati.",pelanggaran lalu lintas
,BAB VII,Pasal 194,"(1) Barang siapa dengan sengaja menimbulkan bahaya bagi lalu lintas umum yang digerakkan oleh tenaga uap atau berkekuatan mesin lain di jalan Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  kereta api atau trem, diancam dengan pidana penjara paling lama lima belas tahun. (2) Jika perbuatan itu mengakibatkan orang mati, yang bersalah diancam dengan pidana penjara seumur hidup atau pidana penjara selama waktu tertentu paling lama dua puluh tahun.",pelanggaran lalu lintas
,BAB VII,Pasal 195,"(1) Barang siapa karena kesalahannya (kealpaannya) menimbulkan bahaya bagi lalu lintas umum yang digerakkan oleh tenaga uap atau kekuatan mesin lain di jalan kereta api atau trem, dianca m dengan pidana penjara paling lama sembilan bulan atau pidana kurungan paling lama enam bulan atau pidana denda paling banyak empat ribu lima ratus rupiah. (2) Jika perbuatan itu mengakibatkan orang mati, yang bersalah diancam pidana penjara paling lama satu ta hun empat bulan atau pidana kurungan paling lama satu tahun.",pelanggaran lalu lintas
,BAB VII,Pasal 196,"Barang siapa dengan sengaja mengha ncurkan, merusak, mengambil atau memindahkan tanda untuk keamanan pelayaran, atau menggagalkan bekerjanya atau memasang ta nda yang keliru, diancam: 1. dengan pidana penjara paling lama dua belas tahun, jika karena perbuatan itu timbul bahaya bagi keamanan pelayaran; 2. dengan pidana penjara paling lama lima belas tahun, jika karena perbuatan itu timbul bahaya bagi keamanan pelayaran dan mengakibatkan tenggelam atau terdamparnya kapal; 3. dengan pidana penjara seumur hidup atau pidana penjara selama waktu tertentu paling lama dua puluh tahun, jika karena perbuatan itu timbul bahaya bagi keamanan pelayaran dan mengakibatkan orang mati.",pengrusakan
,BAB VII,Pasal 197,"Barang siapa karena kesalahan (kealpaan) menyehabkan tanda untuk keamanan dihancurkan, dirusak; diambil atau dipindahkan, atau menyebabkan dipasang tanda yang keliru, diancam: 1. dengan pidana penjara paling lama empat bulan dua minggu atau pidana kurungan paling lama tiga bulan atau pidana denda paling banyak empat ribu lima ratus rupiah, jika karena perbuatan itu pelayaran tidak aman; 2. dengan pidana penjara paling lama sembilan bulan atau pidana kurungan paling lama enam bulan atau pidana denda paling banyak empat, rihu lima ratus rupiah, jika karena Ixrhuatan itu mengakibatkan tenggelam atau terdamparnya kapal, 3. dengan pidana peniara paling lama satu tahun empat bulan atau pidana kurungan paling lama satu tahun, ji ka karena perbuatan itu mengakibatkan orang mati.",pengrusakan
